Latitud,Longitud,ciudad,timezone_offset,Temperatura Actual,Sensacion termica actual,Presion actual,current.humidity,Punto de Rocio actual,current.uvi,current.clouds,Visibilidad Actual,Velocidad del viento actual,Grados del Viento actual,Rafaga del viento,current.rain.1h,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,rain.1h,id,main,description,icon,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,current.dt,current.sunset
51.5085,-0.1257,Londres,3600,15.3,15.31,1011,93,14.18,0.0,100,10000,3.09,300,,,1691452800,14.11,13.53,1014,75,9.75,0.0,97,10000,4.12,260,,,804,Clouds,overcast clouds,04n,804,Clouds,overcast clouds,04n,2023-08-08 19:19:21,2023-08-08 16:38:06
51.5085,-0.1257,Londres,3600,15.75,15.13,1015,67,9.64,0.0,31,10000,4.63,250,,,1691366400,13.38,12.97,1016,84,10.74,0.0,0,10000,0.45,279,1.34,,800,Clear,clear sky,01n,802,Clouds,scattered clouds,03n,2023-08-07 19:19:21,2023-08-07 16:39:53
51.5085,-0.1257,Londres,3600,14.54,14.03,1017,76,10.36,0.0,40,10000,2.57,300,,,1691280000,12.7,12.38,1008,90,11.1,0.0,10,10000,1.34,265,4.02,,800,Clear,clear sky,01n,802,Clouds,scattered clouds,03n,2023-08-06 19:19:21,2023-08-06 16:41:39
51.5085,-0.1257,Londres,3600,12.78,12.52,1007,92,11.51,0.0,100,10000,2.24,284,3.13,,1691193600,14.86,14.57,1017,83,12.0,0.0,100,10000,2.06,210,,,804,Clouds,overcast clouds,04n,804,Clouds,overcast clouds,04n,2023-08-05 19:19:21,2023-08-05 16:43:23
51.5085,-0.1257,Londres,3600,15.68,15.37,1015,79,12.05,0.0,100,10000,1.54,290,,,1691107200,15.1,14.83,1013,83,12.24,2.93,71,10000,2.89,322,6.79,,803,Clouds,broken clouds,04n,804,Clouds,overcast clouds,04n,2023-08-04 19:19:21,2023-08-04 16:45:05
40.7143,-74.006,New York,-14400,25.09,25.25,1003,61,17.05,0.76,100,10000,12.07,286,14.75,,1691452800,24.72,25.49,1008,86,22.22,0.0,100,10000,9.83,164,12.96,,804,Clouds,overcast clouds,04d,804,Clouds,overcast clouds,04d,2023-08-08 19:19:21,2023-08-08 21:04:15
40.7143,-74.006,New York,-14400,25.68,26.42,1007,81,22.17,0.61,100,10000,9.39,150,12.07,,1691366400,24.76,24.99,1015,65,17.74,0.0,0,10000,6.69,180,,,800,Clear,clear sky,01d,804,Clouds,overcast clouds,04d,2023-08-07 19:19:21,2023-08-07 21:05:27
40.7143,-74.006,New York,-14400,26.96,27.44,1015,51,15.97,0.99,0,10000,6.17,170,,,1691280000,26.81,27.08,1014,47,14.56,0.0,0,10000,3.58,16,5.36,,800,Clear,clear sky,01d,800,Clear,clear sky,01d,2023-08-06 19:19:21,2023-08-06 21:06:38
40.7143,-74.006,New York,-14400,28.16,28.36,1014,47,15.79,0.66,0,10000,3.6,360,,,1691193600,22.57,23.05,1014,83,19.54,0.0,100,10000,6.71,202,8.49,,804,Clouds,overcast clouds,04d,800,Clear,clear sky,01d,2023-08-05 19:19:21,2023-08-05 21:07:48
40.7143,-74.006,New York,-14400,23.83,24.28,1014,77,19.56,0.65,100,10000,5.66,170,,,1691107200,23.76,23.6,1017,54,13.91,0.92,85,10000,7.07,181,9.42,,804,Clouds,overcast clouds,04d,804,Clouds,overcast clouds,04d,2023-08-04 19:19:21,2023-08-04 21:08:57
-31.4135,-64.1811,Cordoba,-10800,11.47,9.98,1022,50,1.42,0.0,0,10000,2.57,80,,,1691452800,10.71,8.75,1001,35,-3.65,0.0,0,10000,2.06,350,,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-08 19:19:21,2023-08-08 18:45:43
-31.4135,-64.1811,Cordoba,-10800,13.14,11.16,1001,25,-5.71,0.0,0,10000,2.57,120,,,1691366400,18.83,18.05,992,49,7.9,0.0,0,10000,8.75,180,,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-07 19:19:21,2023-08-07 18:45:05
-31.4135,-64.1811,Cordoba,-10800,20.55,19.86,1015,46,8.54,0.0,0,10000,8.23,180,,,1691280000,15.66,14.87,984,61,8.17,0.0,0,10000,5.14,360,,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-06 19:19:21,2023-08-06 18:44:27
-31.4135,-64.1811,Cordoba,-10800,18.76,17.97,984,49,7.84,0.0,0,10000,3.09,50,,,1691193600,14.34,13.11,994,49,3.78,0.0,0,10000,1.54,310,,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-05 19:19:21,2023-08-05 18:43:48
-31.4135,-64.1811,Cordoba,-10800,18.71,17.6,970,37,3.74,0.0,0,10000,2.17,111,2.99,,1691107200,14.09,12.89,1019,51,4.12,0.42,5,10000,2.0,73,3.1,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-04 19:19:21,2023-08-04 18:43:10
