Latitud,Longitud,ciudad,timezone_offset,Temperatura Actual,Sensacion termica actual,Presion actual,current.humidity,Punto de Rocio actual,current.uvi,current.clouds,Visibilidad Actual,Velocidad del viento actual,Grados del Viento actual,current.rain.1h,Rafaga del viento,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,rain.1h,id,main,description,icon,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,current.dt,current.sunset
51.5085,-0.1257,Londres,3600,19.77,19.55,1015,67,13.47,4.03,100,10000,5.66,280,,,1691107200,16.54,16.34,1010,80,13.08,0.0,75,10000,2.06,330,,,803,Clouds,broken clouds,04n,804,Clouds,overcast clouds,04d,2023-08-04 10:21:40,2023-08-04 16:45:05
51.5085,-0.1257,Londres,3600,20.5,20.09,1004,57,11.7,2.31,40,10000,3.6,330,,,1691020800,16.04,16.08,993,91,14.57,0.0,100,10000,1.34,291,3.58,,804,Clouds,overcast clouds,04n,802,Clouds,scattered clouds,03d,2023-08-03 10:21:40,2023-08-03 16:46:45
51.5085,-0.1257,Londres,3600,16.7,16.78,985,90,15.05,2.85,75,7000,5.14,210,1.33,,1690934400,16.18,16.07,995,85,13.66,0.0,75,10000,2.06,170,,,803,Clouds,broken clouds,04n,501,Rain,moderate rain,10d,2023-08-02 10:21:40,2023-08-02 16:48:24
51.5085,-0.1257,Londres,3600,21.42,21.0,1001,53,11.45,4.01,54,10000,5.66,270,,,1690848000,15.34,15.23,1000,88,13.37,0.0,20,10000,6.17,250,,,801,Clouds,few clouds,02n,803,Clouds,broken clouds,04d,2023-08-01 10:21:40,2023-08-01 16:50:01
51.5085,-0.1257,Londres,3600,18.32,18.35,1002,82,15.2,1.87,100,10000,3.58,256,2.37,5.81,1690761600,16.1,16.17,1009,92,14.8,0.0,100,10000,5.68,220,13.83,0.86,500,Rain,light rain,10n,501,Rain,moderate rain,10d,2023-07-31 10:21:40,2023-07-31 16:51:36
40.7143,-74.006,New York,-14400,22.88,23.18,1014,75,18.22,1.88,75,10000,5.14,220,,,1691107200,22.94,22.96,1017,64,15.77,0.0,20,10000,8.23,180,10.8,,801,Clouds,few clouds,02d,803,Clouds,broken clouds,04d,2023-08-04 10:21:40,2023-08-04 21:08:57
40.7143,-74.006,New York,-14400,22.37,22.31,1021,63,14.99,2.34,0,10000,5.14,220,0.25,,1691020800,22.39,22.17,1022,57,13.46,0.0,0,10000,6.26,165,7.6,,800,Clear,clear sky,01d,500,Rain,light rain,10d,2023-08-03 10:21:40,2023-08-03 21:10:04
40.7143,-74.006,New York,-14400,21.92,21.42,1024,48,10.42,2.21,0,10000,4.12,50,,,1690934400,23.89,23.59,1021,48,12.22,0.0,75,10000,7.15,8,8.49,,803,Clouds,broken clouds,04d,800,Clear,clear sky,01d,2023-08-02 10:21:40,2023-08-02 21:11:10
40.7143,-74.006,New York,-14400,22.36,21.98,1021,51,11.74,2.31,0,10000,5.36,13,,8.94,1690848000,25.61,25.61,1016,53,15.33,0.0,0,10000,4.12,330,,,800,Clear,clear sky,01d,800,Clear,clear sky,01d,2023-08-01 10:21:40,2023-08-01 21:12:14
40.7143,-74.006,New York,-14400,23.57,23.37,1016,53,13.44,2.46,0,10000,3.6,310,0.25,,1690761600,24.71,24.23,1014,38,9.45,0.0,0,10000,4.36,318,5.38,,800,Clear,clear sky,01d,500,Rain,light rain,10d,2023-07-31 10:21:40,2023-07-31 21:13:16
